Name,Link,Tags
Xenonauts 2,https://store.steampowered.com/app/538030/Xenonauts_2/?snr=1_7_7_7000_150_1,"Strategy,RPG,Turn-Based Strategy,Turn-Based Tactics,Turn-Based,Action,Simulation,Adventure,Sci-fi,Survival,Open World,Story Rich,Dark Fantasy,Singleplayer,City Builder,Tactical,Turn-Based Combat,War,Grand Strategy,Early Access"
Terraria,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_7000_150_2,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
BattleBit Remastered,https://store.steampowered.com/app/671860/BattleBit_Remastered/?snr=1_7_7_7000_150_1,"FPS,Shooter,Multiplayer,Destruction,Massively Multiplayer,Military,PvP,Action,War,First-Person,Tactical,Team-Based,Combat,Class-Based,Character Customization,Early Access,Gun Customization,Voxel,3D,Indie"
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,"Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth"
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_7000_150_1,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting"
SnowRunner,https://store.steampowered.com/app/1465360/SnowRunner/?snr=1_7_7_7000_150_1,"Simulation,Automobile Sim,Adventure,Exploration,Sandbox,Realistic,Driving,First-Person,Open World,Third Person,Multiplayer,Immersive Sim,Atmospheric,Racing,Snow,Nature,Physics,ATV,PvE,Team-Based"
The Binding of Isaac: Rebirth,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_7000_150_2,"Action Roguelike,Roguelike,Indie,Replay Value,Difficult,Pixel Graphics,Dungeon Crawler,Great Soundtrack,Singleplayer,Dark,2D,Remake,Local Co-Op,Gore,Procedural Generation,Roguelite,Atmospheric,Action,Co-op,Horror"
Vampyr,https://store.steampowered.com/app/427290/Vampyr/?snr=1_7_7_7000_150_2,"Vampire,RPG,Choices Matter,Story Rich,Open World,Action,Singleplayer,Atmospheric,Third Person,Horror,Dark Fantasy,Violent,Dark,Gore,Adventure,Sexual Content,Great Soundtrack,Stealth,Souls-like,Nudity"
Black Desert,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_7000_150_2,"MMORPG,Massively Multiplayer,RPG,Open World,Character Customization,Adventure,Fantasy,Action,Strategy,3D,Atmospheric,Crafting,Medieval,Simulation,Magic,Cooking,Multiplayer,PvP,War,Combat"
Frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_7000_150_2,"City Builder,Survival,Resource Management,Strategy,Post-apocalyptic,Steampunk,Colony Sim,Building,Base Building,Simulation,Singleplayer,Management,Choices Matter,Atmospheric,Economy,Dark,Difficult,RTS,Great Soundtrack,Real-Time with Pause"
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_7000_150_2,"Co-op,PvE,FPS,Exploration,Procedural Generation,Shooter,Loot,Class-Based,First-Person,Sci-fi,Space,Action,Looter Shooter,Atmospheric,Combat,Horror,Survival,Action Roguelike,Dark,Open World"
Warhammer: Vermintide 2,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_7000_150_2,"Co-op,First-Person,Dark Fantasy,Games Workshop,Violent,Hack and Slash,Gore,Online Co-Op,Action,Action RPG,Fantasy,Multiplayer,PvE,Atmospheric,Roguelite,FPS,Singleplayer,Survival,Adventure,Indie"
STALCRAFT,https://store.steampowered.com/app/1818450/STALCRAFT/?snr=1_7_7_7000_150_2,"Free to Play,FPS,MMORPG,Action,Adventure,Shooter,Atmospheric,First-Person,Looter Shooter,Horror,RPG,PvP,Massively Multiplayer,Combat,Tactical,Story Rich,Team-Based,Multiplayer,Alternate History,PvE"
Killing Floor 2,https://store.steampowered.com/app/232090/Killing_Floor_2/?snr=1_7_7_7000_150_2,"Zombies,Co-op,Gore,FPS,Multiplayer,Survival,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Singleplayer,Early Access,Indie,Blood"
Conan Exiles,https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_7000_150_2,"Survival,Open World,Nudity,Building,Open World Survival Craft,Crafting,Multiplayer,Sandbox,RPG,Massively Multiplayer,Adventure,Action,Online Co-Op,Exploration,Violent,Co-op,Singleplayer,Fantasy,Gore,PvP"
Valheim,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_7000_150_2,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Sandbox,Adventure,Mythology,RPG,Early Access,Action,PvE,Indie,Singleplayer,Third Person"
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_7000_150_2,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure"
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_2,"Early Access,Open World,Survival,Base Building,Vampire,Multiplayer,Crafting,PvP,PvE,Online Co-Op,Building,Hack and Slash,Sandbox,Exploration,Massively Multiplayer,Action,Action-Adventure,Singleplayer,Dark Fantasy,Adventure"
Raft,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_7000_150_2,"Survival,Open World Survival Craft,Multiplayer,Co-op,Crafting,Open World,Building,Base Building,Online Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Early Access,Underwater,Simulation,Action,Indie,Strategy,Massively Multiplayer"
Barotrauma,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_7000_150_2,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Underwater,Simulation,Horror,Sci-fi,Management,Strategy,Action,Difficult,Gore,Moddable,Violent,Singleplayer,Early Access,Naval"
The Outlast Trials,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_7000_150_2,"Early Access,Co-op,Survival Horror,Horror,Multiplayer,Psychological Horror,First-Person,PvE,Character Customization,Action-Adventure,Action,Stealth,Dark Humor,Survival,Alternate History,Realistic,Atmospheric,Dark,Science,Adventure"
PAYDAY 2,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_7000_150_2,"Co-op,Action,FPS,Heist,Looter Shooter,Multiplayer,Online Co-Op,Stealth,Crime,Shooter,Team-Based,First-Person,Great Soundtrack,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Funny,Simulation"
RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_7000_150_2,"Colony Sim,Base Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,City Builder,Moddable,Open World,Procedural Generation,2D,Sci-fi,Indie,Space,Tactical RPG,Western,Cartoony"
UNDECEMBER,https://store.steampowered.com/app/1549250/UNDECEMBER/?snr=1_7_7_7000_150_3,"RPG,Hack and Slash,Multiplayer,Action RPG,Action,Free to Play,Dark Fantasy,Top-Down,Online Co-Op,Co-op,Third Person,Fantasy,Singleplayer,Loot,PvE,Cinematic,Character Customization,PvP,Realistic,Isometric"
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_3,"Farming Sim,Life Sim,Pixel Graphics,Multiplayer,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Cute,Great Soundtrack,Dating Sim,Fishing"
Yet Another Zombie Survivors,https://store.steampowered.com/app/2163330/Yet_Another_Zombie_Survivors/?snr=1_7_7_7000_150_3,"Action Roguelike,RPG,Roguelite,Bullet Hell,Zombies,3D,Horror,Team-Based,Casual,Controller,Isometric,Action,Early Access,Score Attack,Survival,Singleplayer,Dark,Modern,Post-apocalyptic,Cyberpunk"
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_7000_150_3,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Character Customization,Life Sim,4X,Singleplayer,Sandbox,Choices Matter,War,Economy,Moddable,Political,Multiplayer,Real-Time with Pause"
Factorio,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_7000_150_3,"Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel Graphics,City Builder,Indie"
Cities: Skylines II,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_7000_150_3,"Simulation,City Builder,Building,Singleplayer,Strategy,Multiplayer,Sandbox,Management,Economy,Realistic,Moddable,Atmospheric,Casual"
Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_7000_150_3,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_7000_150_3,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
Hades,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_7000_150_3,"Action Roguelike,Hack and Slash,Roguelite,Indie,Action,Mythology,Roguelike,RPG,Great Soundtrack,Singleplayer,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,Souls-like"
Plague Inc: Evolved,https://store.steampowered.com/app/246620/Plague_Inc_Evolved/?snr=1_7_7_7000_150_3,"Strategy,Simulation,Outbreak Sim,Indie,Singleplayer,Multiplayer,Zombies,Casual,Tactical,Replay Value,Post-apocalyptic,Addictive,Realistic,2D,Difficult,Atmospheric,Co-op,Early Access,Sandbox,Survival"
Warface,https://store.steampowered.com/app/291480/Warface/?snr=1_7_7_7000_150_3,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Adventure,Moddable,Class-Based"
Punch Club 2: Fast Forward,https://store.steampowered.com/app/1161590/Punch_Club_2_Fast_Forward/?snr=1_7_7_7000_150_3,"Time Management,Resource Management,Martial Arts,Adventure,Cyberpunk,Management,Sports,Tactical RPG,Pixel Graphics,Strategy RPG,Turn-Based Tactics,Nostalgia,RPG,1980s,1990's,Life Sim,Funny,Arcade,Combat,Retro"
ONE PIECE World Seeker,https://store.steampowered.com/app/755500/ONE_PIECE_World_Seeker/?snr=1_7_7_7000_150_3,"Action,Adventure,Anime,Open World,Singleplayer,Pirates,Multiplayer,Fighting,Co-op,JRPG,RPG,Third Person,Story Rich,Fantasy,Sexual Content"
Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_3,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
City Car Driving,https://store.steampowered.com/app/493490/City_Car_Driving/?snr=1_7_7_7000_150_3,"Simulation,Driving,Automobile Sim,Survival Horror,Open World,Realistic,Multiplayer,Singleplayer,Racing,First-Person,VR,Moddable,Physics,Indie,Family Friendly,Psychological Horror,Education,Adventure,Casual,Horror"
Tiny Bunny,https://store.steampowered.com/app/1421250/Tiny_Bunny/?snr=1_7_7_7000_150_3,"Visual Novel,Horror,Atmospheric,Story Rich,Dark,Psychological Horror,Choices Matter,Singleplayer,2D,Gore,Adventure,Interactive Fiction,Point & Click,Violent,Mature,Anime,Cute,Great Soundtrack,Early Access,Indie"
Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_7000_150_3,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny"
Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22/?snr=1_7_7_7000_150_3,"Simulation,Co-op,Farming Sim,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Online Co-Op,Economy,Character Customization,Family Friendly,Open World,Third Person,Nature,Horses,America"
Children of Morta,https://store.steampowered.com/app/330020/Children_of_Morta/?snr=1_7_7_7000_150_4,"Multiplayer,Roguelike,Hack and Slash,Action Roguelike,Roguelite,Pixel Graphics,Online Co-Op,RPG,Action,Local Co-Op,Dungeon Crawler,Singleplayer,Story Rich,Co-op,Isometric,Action RPG,2D,Procedural Generation,Fantasy,Action-Adventure"
ARMORED CORE™ VI FIRES OF RUBICON™,https://store.steampowered.com/app/1888160/ARMORED_CORE_VI_FIRES_OF_RUBICON/?snr=1_7_7_7000_150_4,"Mechs,3D,Third Person,Character Customization,Combat,Action,Post-apocalyptic,Robots,Multiplayer,Futuristic,Fast-Paced,Sci-fi,Soundtrack,Vehicular Combat,Souls-like,Singleplayer,Military,Co-op,Action-Adventure,Online Co-Op"
Gunfire Reborn,https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_7000_150_4,"Roguelite,FPS,Online Co-Op,Co-op,Roguelike,Multiplayer,Looter Shooter,Indie,Action,Adventure,RPG,Shooter,Action Roguelike,First-Person,Dungeon Crawler,Replay Value,Early Access,Singleplayer,Fast-Paced,Loot"
TOKYO GHOUL:re [CALL to EXIST],https://store.steampowered.com/app/756530/TOKYO_GHOULre_CALL_to_EXIST/?snr=1_7_7_7000_150_4,"Action,Anime,Gore,Violent,Character Customization,Singleplayer,Multiplayer,Sexual Content,Hentai,Hack and Slash,Co-op,Horror,Adventure,JRPG"
CarX Drift Racing Online,https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online/?snr=1_7_7_7000_150_4,"Racing,Driving,Automobile Sim,Multiplayer,Simulation,Sports,Open World,Massively Multiplayer,Controller,Singleplayer,Arcade,VR,Realistic,Local Multiplayer,Co-op,Early Access,Casual,Mod,Games Workshop,Action"
Mount & Blade II: Bannerlord,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_4,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem/?snr=1_7_7_7000_150_4,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
Solasta: Crown of the Magister,https://store.steampowered.com/app/1096530/Solasta_Crown_of_the_Magister/?snr=1_7_7_7000_150_4,"Co-op Campaign,Isometric,Multiplayer,RPG,Character Customization,Co-op,Choices Matter,Fantasy,Story Rich,CRPG,Class-Based,Singleplayer,Dungeons & Dragons,Stealth,PvE,Adventure,Party-Based RPG,Team-Based,Combat,Strategy RPG"
Lost Light,https://store.steampowered.com/app/1797880/Lost_Light/?snr=1_7_7_7000_150_4,"Free to Play,Shooter,Survival,Multiplayer,Action,Massively Multiplayer,Battle Royale,Third-Person Shooter,Gun Customization,FPS,PvP,Third Person,Looter Shooter,3D,Post-apocalyptic,Open World,Sandbox,War,Controller,Zombies"
Medieval Dynasty,https://store.steampowered.com/app/1129580/Medieval_Dynasty/?snr=1_7_7_7000_150_4,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,First-Person,Exploration,Historical,Action,Co-op,Early Access"
Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_7000_150_4,"Strategy,4X,Fantasy,Tactical RPG,Atmospheric,Colorful,Magic,Diplomacy,Character Customization,PvP,War,Grand Strategy,Hex Grid,Moddable,RPG,PvE,Exploration,Top-Down,Lore-Rich,Immersive Sim"
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_7000_150_4,"Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror"
Infinity Kingdom,https://store.steampowered.com/app/1573360/Infinity_Kingdom/?snr=1_7_7_7000_150_4,"Strategy,4X,MOBA,Wargame,Card Battler,Tactical RPG,3D,Split Screen,Cartoony,Drama,War,Tactical,Magic,Base Building,Combat,Massively Multiplayer,Free to Play,Multiplayer,Co-op Campaign,Adventure"
Forts,https://store.steampowered.com/app/410900/Forts/?snr=1_7_7_7000_150_4,"Base Building,Physics,Multiplayer,Destruction,Building,Strategy,Moddable,Sandbox,Action,2D,Memes,Military,Indie,Level Editor,Funny,Tactical,Singleplayer,Retro,Pixel Graphics,Lemmings"
Chivalry 2,https://store.steampowered.com/app/1824220/Chivalry_2/?snr=1_7_7_7000_150_4,"Medieval,Multiplayer,Swordplay,Action,Combat,First-Person,Wargame,Hack and Slash,War,FPS,3D,Third Person,Military,Atmospheric,Comedy,Historical,Gore,3D Fighter,Tactical,Character Customization"
EVE Online,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_7000_150_4,"Space,Free to Play,RPG,Open World,Sci-fi,PvP,Sandbox,Massively Multiplayer,Strategy,Multiplayer,Economy,Action,Character Customization,Exploration,War,Spaceships,MMORPG,Politics,Lore-Rich,PvE"
ULTRAKILL,https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_7000_150_5,"Early Access,FPS,Arena Shooter,Spectacle fighter,Character Action Game,Blood,Retro,Fast-Paced,Singleplayer,Shooter,First-Person,Difficult,Action,Old School,Robots,3D,Silent Protagonist,Stylized,Sci-fi,Cyberpunk"
Wolcen: Lords of Mayhem,https://store.steampowered.com/app/424370/Wolcen_Lords_of_Mayhem/?snr=1_7_7_7000_150_5,"Hack and Slash,Action RPG,Isometric,Multiplayer,RPG,Action,Loot,Adventure,Indie,Co-op,Character Customization,Dark Fantasy,Dungeon Crawler,Singleplayer,Controller,Fantasy,Top-Down,Medieval,Online Co-Op,Difficult"
Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_7000_150_5,"Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Singleplayer,Management,Multiplayer,Resource Management,Education,Great Soundtrack"
Crashlands,https://store.steampowered.com/app/391730/Crashlands/?snr=1_7_7_7000_150_5,"Open World Survival Craft,RPG,Survival,Open World,Exploration,Crafting,Singleplayer,Adventure,Sandbox,Indie,Base Building,2D,Building,Sci-fi,Top-Down,Comedy,Story Rich,Funny,Female Protagonist,Multiplayer"
BONELAB,https://store.steampowered.com/app/1592190/BONELAB/?snr=1_7_7_7000_150_5,"VR,Physics,Sandbox,Action,Shooter,FPS,First-Person,Action-Adventure,Violent,Underground,Experimental,Psychological,Combat,Puzzle,Dark,Indie,Story Rich,Female Protagonist,Singleplayer,Atmospheric"
Ember Knights,https://store.steampowered.com/app/1135230/Ember_Knights/?snr=1_7_7_7000_150_5,"Action Roguelike,Roguelite,Pixel Graphics,Dungeon Crawler,Hack and Slash,Adventure,RPG,Co-op,Multiplayer,Online Co-Op,Action,Singleplayer,2D,Local Co-Op,Roguelike,Local Multiplayer,Top-Down,Procedural Generation,Combat,Choices Matter"
American Truck Simulator,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_7000_150_5,"Automobile Sim,Driving,Open World,Transportation,Simulation,America,Realistic,Moddable,Relaxing,Exploration,Economy,Atmospheric,Management,Immersive Sim,Multiplayer,Singleplayer,Adventure,Casual,Family Friendly,Level Editor"
Friday the 13th: The Game,https://store.steampowered.com/app/438740/Friday_the_13th_The_Game/?snr=1_7_7_7000_150_5,"Horror,Multiplayer,Survival Horror,Survival,Gore,Violent,Co-op,Third Person,Action,Stealth,Psychological Horror,Dark,Mature,Atmospheric,Open World,Funny,Adventure,Singleplayer,Difficult,Nudity"
Bloodhound,https://store.steampowered.com/app/1926270/Bloodhound/?snr=1_7_7_7000_150_5,"Action,Shooter,FPS,3D,Dark,Gore,Singleplayer,PvE,Demons,Horror,Indie,Retro,Fast-Paced,Action-Adventure,Adventure,Violent,Atmospheric,Blood,Difficult,First-Person"
Foxhole,https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_7000_150_5,"Massively Multiplayer,Wargame,Military,Base Building,World War II,Open World,War,Sandbox,Top-Down,PvP,Tactical,Top-Down Shooter,Multiplayer,Team-Based,Strategy,Crafting,Shooter,Co-op,Action,RPG"
Partisans 1941,https://store.steampowered.com/app/1227530/Partisans_1941/?snr=1_7_7_7000_150_5,"Strategy,Real Time Tactics,World War II,Stealth,Tactical,Singleplayer,Isometric,Indie,War,Historical,Tactical RPG,Assassin,Strategy RPG,Atmospheric,Difficult,Character Customization,Action,3D,Third Person,Combat"
Risk of Rain 2,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_7000_150_5,"Third-Person Shooter,Action Roguelike,Multiplayer,Action,Co-op,Roguelite,Looter Shooter,Roguelike,Loot,Online Co-Op,Shooter,Difficult,Third Person,Indie,Survival,Singleplayer,Great Soundtrack,Soundtrack,Early Access,Bullet Hell"
